issue_id,district,sector,cell,date_reported,date_resolved,assigned_department,assigned_level,description,status,escalated,is_overdue,feedback_rating,feedback_comment
ISS-1010,Kicukiro,Gikondo,Gikondo,5/2/2025,23/02/2025,Education,Sector,Lack of waste bins in public areas behind the local office for over a month.,Resolved,No,Yes,3,"Poor handling, not happy."
ISS-1011,Nyarugenge,Kigali,Muhima,5/2/2025,8/2/2025,Water & sanitation,Cell,Broken streetlight at the main road since last week.,Resolved,No,No,4,Service was quick and effective.
ISS-1012,Gasabo,Remera,Rukiri II,9/4/2025,24/04/2025,Social services,Cell,Public toilet not functioning behind the local office for almost a year.,Resolved,No,Yes,3,Good communication throughout.
ISS-1013,Gasabo,Remera,Rukiri II,29/03/2025,,Water & sanitation,District,Open sewage causing bad smell next to the bus stop for 3 days.,In Progress,No,Yes,,
ISS-1014,Gasabo,Kimironko,Bibare,10/5/2025,7/6/2025,Social services,Cell,Noise pollution from nearby bars in the residential area since the rainy season began.,Resolved,No,Yes,3,"Poor handling, not happy."
ISS-1015,Nyarugenge,Nyamirambo,Mumena,19/07/2025,18/08/2025,Education,District,Poor internet connectivity in public offices in the residential area since yesterday.,Resolved,No,Yes,1,Good communication throughout.
ISS-1016,Kicukiro,Gikondo,Kanserege,3/3/2025,,Water & sanitation,Sector,Unfinished construction causing hazards next to the bus stop for 2 months now.,Escalated,Yes,Yes,,
ISS-1017,Gasabo,Remera,Rukiri II,16/07/2025,,Health and Services ,District,Noise pollution from nearby bars next to the bus stop since yesterday.,Escalated,Yes,Yes,,
ISS-1018,Kicukiro,Kigarama,Kigarama II,24/02/2025,21/03/2025,Social services,Sector,Broken streetlight at the football field since the rainy season began.,Resolved,No,Yes,2,"Poor handling, not happy."
ISS-1019,Kicukiro,Gikondo,Gikondo,26/04/2025,,public Safety,District,Overgrown bushes blocking footpaths in the village center for 1 week.,Open,No,Yes,,
ISS-1020,Gasabo,Kimironko,Bibare,31/05/2025,3/6/2025,Social services,Cell,Open sewage causing bad smell by the primary school since the rainy season began.,Resolved,No,No,4,Took longer than expected.
ISS-1021,Gasabo,Remera,Rukiri I,13/03/2025,20/03/2025,Social services,Cell,Electricity blackout in the neighborhood in the residential area since yesterday.,Resolved,No,No,4,"Poor handling, not happy."
ISS-1022,Nyarugenge,Kigali,Kiyovu,25/01/2025,,public Safety,Cell,Water shortage in the area near the market for 3 days.,In Progress,No,Yes,,
ISS-1023,Kicukiro,Gikondo,Rwimbogo,17/06/2025,21/06/2025,Health and Services ,District,Broken streetlight near the market for 2 months now.,Resolved,No,No,4,The issue is still not fully fixed.
ISS-1024,Nyarugenge,Kigali,Kiyovu,18/05/2025,1/6/2025,Education,Cell,Damaged bridge making crossing difficult at the football field for several weeks.,Resolved,No,No,3,Very satisfied with the outcome.
ISS-1025,Kicukiro,Kigarama,Kigarama I,13/01/2025,31/01/2025,Social services,Cell,Electricity blackout in the neighborhood behind the local office since the rainy season began.,Resolved,No,Yes,1,Service was quick and effective.
ISS-1026,Gasabo,Remera,Rukiri I,13/04/2025,19/04/2025,public Safety,Cell,Illegal dumping of waste at the main road since last week.,Resolved,No,No,5,Service was quick and effective.
ISS-1027,Kicukiro,Gikondo,Rwimbogo,7/7/2025,25/07/2025,public Safety,District,Garbage collection delay at the football field for 3 days.,Resolved,No,Yes,4,Took longer than expected.
ISS-1028,Gasabo,Kimironko,Bibare,19/05/2025,,Social services,District,Unfinished construction causing hazards at the main road for several weeks.,In Progress,No,Yes,,
ISS-1029,Gasabo,Remera,Rukiri II,10/2/2025,,Social services,District,Road full of potholes at the main road for over a month.,Escalated,Yes,Yes,,
ISS-1030,Gasabo,Remera,Nyabisindu,9/8/2025,13/08/2025,Health and Services ,District,Broken streetlight behind the local office since yesterday.,Resolved,No,No,4,Good communication throughout.
ISS-1031,Nyarugenge,Nyamirambo,Rwezamenyo II,30/05/2025,10/6/2025,public Safety,District,Health post has no medicines in the residential area for almost a year.,Resolved,No,No,4,Took longer than expected.
ISS-1032,Nyarugenge,Kigali,Kiyovu,21/06/2025,6/7/2025,public Safety,Cell,Health post has no medicines at the football field since this morning.,Resolved,No,Yes,3,Service was quick and effective.
ISS-1033,Gasabo,Kimironko,Kibagabaga,18/05/2025,27/05/2025,Health and Services ,Cell,Garbage collection delay near the health post for over a month.,Resolved,No,No,3,Very satisfied with the outcome.
ISS-1034,Gasabo,Remera,Rukiri I,2/8/2025,12/8/2025,Education,Sector,Garbage collection delay in the village center for several weeks.,Resolved,No,No,5,"Poor handling, not happy."
ISS-1035,Nyarugenge,Nyamirambo,Rwezamenyo II,27/01/2025,1/2/2025,Water & sanitation,District,Blocked drainage causing floods near the health post since yesterday.,Resolved,No,No,5,Service was quick and effective.
ISS-1036,Gasabo,Remera,Rukiri I,3/7/2025,25/07/2025,Social services,Cell,Unfinished construction causing hazards near the river since last week.,Resolved,No,Yes,3,Good communication throughout.
ISS-1037,Kicukiro,Gikondo,Kanserege,12/1/2025,,public Safety,Sector,Illegal dumping of waste by the primary school for 1 week.,Open,No,Yes,,
ISS-1038,Nyarugenge,Kigali,Kiyovu,20/04/2025,24/04/2025,Social services,District,Poor internet connectivity in public offices near the river since yesterday.,Resolved,No,No,4,"Poor handling, not happy."
ISS-1039,Gasabo,Remera,Rukiri I,21/04/2025,,Social services,Cell,Poor internet connectivity in public offices behind the local office since last week.,In Progress,No,Yes,,
ISS-1040,Kicukiro,Kigarama,Kigarama II,27/01/2025,14/02/2025,Education,District,Water shortage in the area near the health post since last week.,Resolved,No,Yes,4,Good communication throughout.
ISS-1041,Nyarugenge,Nyamirambo,Mumena,7/1/2025,,Education,Sector,Unsafe pedestrian crossing without signs at the main road for 1 week.,In Progress,No,Yes,,
ISS-1042,Kicukiro,Kigarama,Kigarama II,10/1/2025,18/01/2025,Health and Services ,Sector,Flooding in homes after rain at the main road for over a month.,Resolved,No,No,3,The issue is still not fully fixed.
ISS-1043,Kicukiro,Gikondo,Kanserege,19/02/2025,28/02/2025,Health and Services ,District,Broken streetlight in the residential area for almost a year.,Resolved,No,No,3,Very satisfied with the outcome.
ISS-1044,Kicukiro,Gikondo,Gikondo,30/01/2025,8/2/2025,Water & sanitation,Cell,Noise pollution from nearby bars at the football field for over a month.,Resolved,No,No,3,Good communication throughout.
ISS-1045,Kicukiro,Kigarama,Kigarama I,6/7/2025,20/07/2025,public Safety,Sector,Electricity blackout in the neighborhood next to the bus stop since the rainy season began.,Resolved,No,No,5,Good communication throughout.
ISS-1046,Gasabo,Kimironko,Kibagabaga,1/7/2025,18/07/2025,Water & sanitation,Cell,Blocked drainage causing floods in the village center for 3 days.,Resolved,No,Yes,2,Very satisfied with the outcome.
ISS-1047,Kicukiro,Kigarama,Kigarama III,19/06/2025,13/07/2025,Social services,Sector,Illegal dumping of waste near the market for 2 months now.,Resolved,No,Yes,3,Good communication throughout.
ISS-1048,Kicukiro,Gikondo,Rwimbogo,2/2/2025,,Water & sanitation,District,Broken streetlight by the primary school since the rainy season began.,Escalated,Yes,Yes,,
ISS-1049,Kicukiro,Kigarama,Kigarama III,21/05/2025,31/05/2025,Water & sanitation,Sector,Lack of waste bins in public areas near the health post since this morning.,Resolved,No,No,4,Took longer than expected.
ISS-1050,Kicukiro,Gikondo,Rwimbogo,24/02/2025,22/03/2025,public Safety,District,Damaged bridge making crossing difficult near the river for 2 months now.,Resolved,No,Yes,2,"Poor handling, not happy."
ISS-1051,Gasabo,Kimironko,Kibagabaga,29/07/2025,6/8/2025,Water & sanitation,Cell,Public toilet not functioning near the market for almost a year.,Resolved,No,No,5,Very satisfied with the outcome.
ISS-1052,Gasabo,Remera,Nyabisindu,2/5/2025,27/05/2025,Health and Services ,Cell,Blocked drainage causing floods near the river for several weeks.,Resolved,No,Yes,1,The issue is still not fully fixed.
ISS-1053,Kicukiro,Kigarama,Kigarama III,4/3/2025,,public Safety,Sector,School lacks enough desks next to the bus stop for 3 days.,Escalated,Yes,Yes,,
ISS-1054,Gasabo,Remera,Rukiri I,13/05/2025,31/05/2025,Education,District,Noise pollution from nearby bars next to the bus stop for several weeks.,Resolved,No,Yes,2,Service was quick and effective.
ISS-1055,Kicukiro,Kigarama,Kigarama II,23/03/2025,21/04/2025,Social services,District,Blocked drainage causing floods in the village center for over a month.,Resolved,No,Yes,4,Good communication throughout.
ISS-1056,Nyarugenge,Kigali,Muhima,9/8/2025,18/08/2025,Education,District,Noise pollution from nearby bars next to the bus stop for 3 days.,Resolved,No,No,3,"Poor handling, not happy."
ISS-1057,Kicukiro,Gikondo,Gikondo,20/01/2025,28/01/2025,Water & sanitation,Sector,Public transport shortage during rush hours behind the local office since yesterday.,Resolved,No,No,4,Very satisfied with the outcome.
ISS-1058,Kicukiro,Kigarama,Kigarama I,27/06/2025,,Education,Sector,Open sewage causing bad smell next to the bus stop since this morning.,Open,No,Yes,,
ISS-1059,Gasabo,Kimironko,Nyagatovu,17/04/2025,,Social services,Sector,Damaged bridge making crossing difficult at the football field since last week.,In Progress,No,Yes,,
ISS-1060,Kicukiro,Kigarama,Kigarama III,1/4/2025,14/04/2025,public Safety,Cell,Unsafe pedestrian crossing without signs next to the bus stop since yesterday.,Resolved,No,No,4,Good communication throughout.
ISS-1061,Nyarugenge,Nyamirambo,Rwezamenyo I,5/5/2025,,Water & sanitation,Sector,Water shortage in the area next to the bus stop since last week.,In Progress,No,Yes,,
ISS-1062,Nyarugenge,Kigali,Muhima,9/6/2025,9/7/2025,public Safety,Cell,Noise pollution from nearby bars at the football field for almost a year.,Resolved,No,Yes,4,Good communication throughout.
ISS-1063,Nyarugenge,Nyamirambo,Mumena,16/02/2025,,Education,Sector,Blocked drainage causing floods by the primary school for over a month.,In Progress,No,Yes,,
ISS-1064,Kicukiro,Kigarama,Kigarama II,13/03/2025,9/4/2025,Water & sanitation,Sector,Overgrown bushes blocking footpaths near the health post for 1 week.,Resolved,No,Yes,4,Very satisfied with the outcome.
ISS-1065,Gasabo,Kimironko,Bibare,27/02/2025,24/03/2025,Health and Services ,Sector,Water shortage in the area behind the local office for 3 days.,Resolved,No,Yes,1,Service was quick and effective.
ISS-1066,Gasabo,Remera,Nyabisindu,2/2/2025,6/2/2025,Education,Cell,Public toilet not functioning behind the local office for almost a year.,Resolved,No,No,4,The issue is still not fully fixed.
ISS-1067,Nyarugenge,Kigali,Nyarugenge,11/7/2025,5/8/2025,Social services,District,Garbage collection delay near the health post since this morning.,Resolved,No,Yes,2,Very satisfied with the outcome.
ISS-1068,Gasabo,Remera,Rukiri I,3/7/2025,,public Safety,Sector,Road full of potholes in the village center since this morning.,Escalated,Yes,Yes,,
ISS-1069,Nyarugenge,Nyamirambo,Mumena,23/07/2025,18/08/2025,Social services,Cell,Electricity blackout in the neighborhood near the market since last week.,Resolved,No,Yes,1,Very satisfied with the outcome.
ISS-1070,Nyarugenge,Kigali,Muhima,15/06/2025,13/07/2025,Health and Services ,District,Poor internet connectivity in public offices at the main road since the rainy season began.,Resolved,No,Yes,4,The issue is still not fully fixed.
ISS-1071,Gasabo,Kimironko,Nyagatovu,15/02/2025,8/3/2025,Education,Sector,Lack of waste bins in public areas near the market for over a month.,Resolved,No,Yes,3,Good communication throughout.
ISS-1072,Nyarugenge,Kigali,Nyarugenge,24/03/2025,20/04/2025,Social services,Sector,Broken streetlight by the primary school since last week.,Resolved,No,Yes,1,Very satisfied with the outcome.
ISS-1073,Kicukiro,Kigarama,Kigarama II,8/4/2025,24/04/2025,Social services,District,Public transport shortage during rush hours behind the local office since the rainy season began.,Resolved,No,Yes,3,Took longer than expected.
ISS-1074,Kicukiro,Kigarama,Kigarama II,2/6/2025,11/6/2025,Water & sanitation,Sector,Damaged bridge making crossing difficult near the river since this morning.,Resolved,No,No,5,Service was quick and effective.
ISS-1075,Nyarugenge,Nyamirambo,Mumena,23/05/2025,15/06/2025,public Safety,Sector,Water shortage in the area behind the local office since last week.,Resolved,No,Yes,4,"Poor handling, not happy."
ISS-1076,Nyarugenge,Kigali,Nyarugenge,26/02/2025,6/3/2025,Health and Services ,Sector,Overgrown bushes blocking footpaths at the football field for 3 days.,Resolved,No,No,4,"Poor handling, not happy."
ISS-1077,Nyarugenge,Kigali,Nyarugenge,19/04/2025,7/5/2025,Social services,Sector,Garbage collection delay at the football field for 2 months now.,Resolved,No,Yes,3,Very satisfied with the outcome.
ISS-1078,Nyarugenge,Kigali,Nyarugenge,31/01/2025,11/2/2025,Water & sanitation,Cell,Road full of potholes behind the local office for 3 days.,Resolved,No,No,3,"Poor handling, not happy."
ISS-1079,Nyarugenge,Nyamirambo,Mumena,5/7/2025,30/07/2025,public Safety,Sector,Poor internet connectivity in public offices by the primary school for 3 days.,Resolved,No,Yes,3,Service was quick and effective.
ISS-1080,Gasabo,Kimironko,Bibare,4/1/2025,9/1/2025,Education,Sector,Blocked drainage causing floods behind the local office for 1 week.,Resolved,No,No,5,Service was quick and effective.
ISS-1081,Gasabo,Kimironko,Kibagabaga,4/1/2025,20/01/2025,public Safety,Cell,Water shortage in the area in the residential area since the rainy season began.,Resolved,No,Yes,4,The issue is still not fully fixed.
ISS-1082,Kicukiro,Kigarama,Kigarama I,30/07/2025,,public Safety,Cell,Broken streetlight near the river for several weeks.,In Progress,No,No,,
ISS-1083,Gasabo,Remera,Nyabisindu,22/01/2025,26/01/2025,Social services,Sector,Health post has no medicines behind the local office since the rainy season began.,Resolved,No,No,5,Good communication throughout.
ISS-1084,Nyarugenge,Nyamirambo,Rwezamenyo II,18/03/2025,1/4/2025,public Safety,Sector,Blocked drainage causing floods near the health post for 1 week.,Resolved,No,No,4,Good communication throughout.
ISS-1085,Nyarugenge,Nyamirambo,Rwezamenyo II,24/02/2025,27/02/2025,Education,District,Overgrown bushes blocking footpaths next to the bus stop for several weeks.,Resolved,No,No,4,Took longer than expected.
ISS-1086,Gasabo,Remera,Nyabisindu,26/06/2025,6/7/2025,public Safety,Sector,School lacks enough desks near the river since the rainy season began.,Resolved,No,No,3,Took longer than expected.
ISS-1087,Kicukiro,Gikondo,Gikondo,1/3/2025,27/03/2025,Health and Services ,District,Broken streetlight next to the bus stop for 3 days.,Resolved,No,Yes,2,The issue is still not fully fixed.
ISS-1088,Gasabo,Remera,Rukiri II,19/01/2025,,Water & sanitation,Cell,Health post has no medicines near the river since last week.,In Progress,No,Yes,,
ISS-1089,Nyarugenge,Kigali,Nyarugenge,19/03/2025,28/03/2025,public Safety,District,Water shortage in the area at the football field for over a month.,Resolved,No,No,5,Good communication throughout.
ISS-1090,Kicukiro,Gikondo,Kanserege,8/7/2025,17/07/2025,Health and Services ,Sector,Noise pollution from nearby bars next to the bus stop for 2 months now.,Resolved,No,No,3,Service was quick and effective.
ISS-1091,Gasabo,Remera,Rukiri II,15/07/2025,31/07/2025,Social services,Cell,Garbage collection delay in the residential area since last week.,Resolved,No,Yes,4,Very satisfied with the outcome.
ISS-1092,Gasabo,Kimironko,Kibagabaga,31/03/2025,11/4/2025,Health and Services ,Sector,Overgrown bushes blocking footpaths near the river for 3 days.,Resolved,No,No,5,Service was quick and effective.
ISS-1093,Gasabo,Kimironko,Nyagatovu,13/04/2025,1/5/2025,Water & sanitation,District,Unfinished construction causing hazards in the residential area for 1 week.,Resolved,No,Yes,1,The issue is still not fully fixed.
ISS-1094,Gasabo,Kimironko,Nyagatovu,12/5/2025,13/05/2025,Health and Services ,Sector,Unfinished construction causing hazards near the market for 2 months now.,Resolved,No,No,5,The issue is still not fully fixed.
ISS-1095,Gasabo,Remera,Rukiri II,10/6/2025,12/6/2025,Social services,Sector,Road full of potholes near the health post since last week.,Resolved,No,No,4,Very satisfied with the outcome.
ISS-1096,Nyarugenge,Nyamirambo,Rwezamenyo I,8/1/2025,28/01/2025,public Safety,Cell,Broken streetlight at the main road for 2 months now.,Resolved,No,Yes,2,"Poor handling, not happy."
ISS-1097,Gasabo,Kimironko,Kibagabaga,24/01/2025,20/02/2025,Social services,Sector,Illegal dumping of waste at the football field since the rainy season began.,Resolved,No,Yes,1,The issue is still not fully fixed.
ISS-1098,Gasabo,Remera,Rukiri I,11/3/2025,27/03/2025,Social services,District,School lacks enough desks near the health post since last week.,Resolved,No,Yes,4,Took longer than expected.
ISS-1099,Kicukiro,Kigarama,Kigarama II,11/7/2025,8/8/2025,Social services,District,Water shortage in the area near the market for almost a year.,Resolved,No,Yes,1,Very satisfied with the outcome.
ISS-1100,Kicukiro,Gikondo,Gikondo,5/7/2025,24/07/2025,Health and Services ,Sector,Noise pollution from nearby bars at the football field since yesterday.,Resolved,No,Yes,4,Took longer than expected.
ISS-1101,Kicukiro,Gikondo,Rwimbogo,7/4/2025,18/04/2025,Social services,District,School lacks enough desks next to the bus stop for several weeks.,Resolved,No,No,3,"Poor handling, not happy."
ISS-1102,Gasabo,Kimironko,Bibare,10/7/2025,9/8/2025,Health and Services ,Sector,Open sewage causing bad smell in the residential area since the rainy season began.,Resolved,No,Yes,4,The issue is still not fully fixed.
ISS-1103,Nyarugenge,Nyamirambo,Rwezamenyo I,1/6/2025,5/6/2025,Education,District,Unsafe pedestrian crossing without signs near the market for 1 week.,Resolved,No,No,5,Service was quick and effective.
ISS-1104,Nyarugenge,Kigali,Kiyovu,9/2/2025,,public Safety,District,Damaged bridge making crossing difficult in the residential area for 2 months now.,In Progress,No,Yes,,
ISS-1105,Kicukiro,Gikondo,Gikondo,8/8/2025,19/08/2025,Water & sanitation,District,Water shortage in the area in the village center for 3 days.,Resolved,No,No,5,"Poor handling, not happy."
ISS-1106,Kicukiro,Kigarama,Kigarama III,25/06/2025,3/7/2025,Education,District,Health post has no medicines at the main road for over a month.,Resolved,No,No,5,Service was quick and effective.
ISS-1107,Kicukiro,Kigarama,Kigarama III,27/06/2025,28/06/2025,public Safety,Cell,Open sewage causing bad smell next to the bus stop for over a month.,Resolved,No,No,4,Very satisfied with the outcome.
ISS-1108,Gasabo,Kimironko,Nyagatovu,4/3/2025,23/03/2025,public Safety,Cell,Flooding in homes after rain near the market for 3 days.,Resolved,No,Yes,2,Took longer than expected.
ISS-1109,Gasabo,Remera,Rukiri II,3/3/2025,22/03/2025,Social services,District,Lack of waste bins in public areas in the residential area for several weeks.,Resolved,No,Yes,2,Took longer than expected.
ISS-1110,Kicukiro,Gikondo,Rwimbogo,15/03/2025,21/03/2025,Health and Services ,Sector,Damaged bridge making crossing difficult in the residential area for 3 days.,Resolved,No,No,4,The issue is still not fully fixed.
ISS-1111,Kicukiro,Gikondo,Gikondo,5/8/2025,18/08/2025,Water & sanitation,Sector,Poor internet connectivity in public offices at the football field for almost a year.,Resolved,No,No,4,Service was quick and effective.
ISS-1112,Gasabo,Kimironko,Kibagabaga,29/06/2025,26/07/2025,Social services,Sector,Unsafe pedestrian crossing without signs in the village center for 2 months now.,Resolved,No,Yes,4,Very satisfied with the outcome.
ISS-1113,Gasabo,Remera,Rukiri II,5/6/2025,13/06/2025,Water & sanitation,Cell,Flooding in homes after rain near the market since this morning.,Resolved,No,No,5,Took longer than expected.
ISS-1114,Nyarugenge,Kigali,Muhima,15/06/2025,,Health and Services ,District,Unfinished construction causing hazards next to the bus stop for 1 week.,In Progress,No,Yes,,
ISS-1115,Gasabo,Kimironko,Kibagabaga,25/03/2025,31/03/2025,Health and Services ,Sector,Overgrown bushes blocking footpaths at the football field since last week.,Resolved,No,No,4,Took longer than expected.
ISS-1116,Nyarugenge,Kigali,Muhima,7/3/2025,23/03/2025,Water & sanitation,Cell,Illegal dumping of waste at the football field for 3 days.,Resolved,No,Yes,3,"Poor handling, not happy."
ISS-1117,Kicukiro,Kigarama,Kigarama II,9/8/2025,31/08/2025,Education,Cell,Illegal dumping of waste in the residential area for several weeks.,Resolved,No,Yes,4,Good communication throughout.
ISS-1118,Kicukiro,Kigarama,Kigarama II,1/2/2025,23/02/2025,Water & sanitation,District,Unsafe pedestrian crossing without signs near the market for 1 week.,Resolved,No,Yes,3,Good communication throughout.
ISS-1119,Kicukiro,Gikondo,Kanserege,8/6/2025,26/06/2025,public Safety,Cell,Unsafe pedestrian crossing without signs next to the bus stop since last week.,Resolved,No,Yes,3,Good communication throughout.
ISS-1120,Gasabo,Remera,Rukiri II,15/04/2025,,Water & sanitation,District,Open sewage causing bad smell near the health post for 3 days.,Open,No,Yes,,
ISS-1121,Gasabo,Kimironko,Nyagatovu,18/05/2025,,Health and Services ,Cell,Unfinished construction causing hazards in the residential area for 3 days.,In Progress,No,Yes,,
ISS-1122,Kicukiro,Gikondo,Gikondo,26/01/2025,15/02/2025,public Safety,District,Unfinished construction causing hazards behind the local office for almost a year.,Resolved,No,Yes,4,Very satisfied with the outcome.
ISS-1123,Gasabo,Kimironko,Bibare,7/8/2025,29/08/2025,public Safety,Cell,Public transport shortage during rush hours in the residential area since yesterday.,Resolved,No,Yes,3,Good communication throughout.
ISS-1124,Nyarugenge,Kigali,Kiyovu,1/2/2025,28/02/2025,Water & sanitation,Cell,Illegal dumping of waste near the health post since the rainy season began.,Resolved,No,Yes,4,Service was quick and effective.
ISS-1125,Nyarugenge,Nyamirambo,Rwezamenyo II,21/07/2025,26/07/2025,Health and Services ,Cell,Poor internet connectivity in public offices by the primary school for 1 week.,Resolved,No,No,4,Service was quick and effective.
ISS-1126,Nyarugenge,Nyamirambo,Rwezamenyo II,18/07/2025,,Education,Sector,Electricity blackout in the neighborhood near the market since the rainy season began.,Escalated,Yes,Yes,,
ISS-1127,Gasabo,Kimironko,Bibare,24/07/2025,,Social services,Sector,Flooding in homes after rain near the market since this morning.,Escalated,Yes,Yes,,
ISS-1128,Gasabo,Remera,Nyabisindu,24/03/2025,,Education,District,Unfinished construction causing hazards behind the local office since the rainy season began.,In Progress,No,Yes,,
ISS-1129,Gasabo,Remera,Rukiri II,10/7/2025,,Social services,Cell,Flooding in homes after rain in the residential area for 2 months now.,In Progress,No,Yes,,
ISS-1130,Kicukiro,Kigarama,Kigarama II,12/1/2025,11/2/2025,Education,District,Blocked drainage causing floods next to the bus stop since last week.,Resolved,No,Yes,3,The issue is still not fully fixed.
ISS-1131,Nyarugenge,Nyamirambo,Mumena,25/06/2025,,public Safety,Sector,Unsafe pedestrian crossing without signs behind the local office since yesterday.,Escalated,Yes,Yes,,
ISS-1132,Kicukiro,Kigarama,Kigarama I,17/01/2025,,Social services,Cell,Public transport shortage during rush hours in the residential area for 1 week.,Escalated,Yes,Yes,,
ISS-1133,Nyarugenge,Kigali,Nyarugenge,27/04/2025,11/5/2025,Social services,Sector,Electricity blackout in the neighborhood next to the bus stop since yesterday.,Resolved,No,No,3,"Poor handling, not happy."
ISS-1134,Gasabo,Remera,Rukiri I,28/03/2025,10/4/2025,Education,Sector,Poor internet connectivity in public offices at the main road for over a month.,Resolved,No,No,4,"Poor handling, not happy."
ISS-1135,Gasabo,Kimironko,Nyagatovu,9/2/2025,25/02/2025,Water & sanitation,Sector,Broken streetlight by the primary school for 2 months now.,Resolved,No,Yes,1,Service was quick and effective.
ISS-1136,Gasabo,Remera,Rukiri I,23/05/2025,,Water & sanitation,Cell,Damaged bridge making crossing difficult near the river for 3 days.,Escalated,Yes,Yes,,
ISS-1137,Nyarugenge,Kigali,Muhima,20/06/2025,4/7/2025,public Safety,Sector,Illegal dumping of waste in the residential area since yesterday.,Resolved,No,No,5,Service was quick and effective.
ISS-1138,Kicukiro,Gikondo,Rwimbogo,24/02/2025,,Social services,District,Flooding in homes after rain in the village center for 1 week.,In Progress,No,Yes,,
ISS-1139,Gasabo,Remera,Rukiri I,15/07/2025,23/07/2025,Water & sanitation,Cell,Poor internet connectivity in public offices at the main road for over a month.,Resolved,No,No,4,Good communication throughout.
ISS-1140,Nyarugenge,Nyamirambo,Rwezamenyo II,11/3/2025,21/03/2025,Health and Services ,Cell,Unfinished construction causing hazards at the football field for 3 days.,Resolved,No,No,4,Very satisfied with the outcome.
ISS-1141,Gasabo,Remera,Nyabisindu,6/2/2025,7/2/2025,public Safety,Cell,Flooding in homes after rain at the main road for several weeks.,Resolved,No,No,4,"Poor handling, not happy."
ISS-1142,Nyarugenge,Nyamirambo,Rwezamenyo I,10/2/2025,6/3/2025,public Safety,Sector,Noise pollution from nearby bars next to the bus stop for several weeks.,Resolved,No,Yes,3,Good communication throughout.
ISS-1143,Nyarugenge,Nyamirambo,Mumena,13/01/2025,22/01/2025,Education,District,Flooding in homes after rain in the village center since yesterday.,Resolved,No,No,4,"Poor handling, not happy."
ISS-1144,Kicukiro,Gikondo,Gikondo,25/02/2025,1/3/2025,public Safety,Sector,Water shortage in the area near the market for 3 days.,Resolved,No,No,5,The issue is still not fully fixed.
ISS-1145,Gasabo,Kimironko,Kibagabaga,20/06/2025,28/06/2025,public Safety,District,Public toilet not functioning behind the local office for over a month.,Resolved,No,No,4,Good communication throughout.
ISS-1146,Gasabo,Remera,Nyabisindu,15/07/2025,26/07/2025,Education,Cell,Broken streetlight by the primary school for 2 months now.,Resolved,No,No,3,Service was quick and effective.
ISS-1147,Kicukiro,Gikondo,Kanserege,30/06/2025,18/07/2025,public Safety,District,Illegal dumping of waste by the primary school since this morning.,Resolved,No,Yes,3,Service was quick and effective.
ISS-1148,Kicukiro,Kigarama,Kigarama II,9/8/2025,23/08/2025,public Safety,Cell,Public toilet not functioning near the health post for over a month.,Resolved,No,No,5,The issue is still not fully fixed.
ISS-1149,Nyarugenge,Kigali,Nyarugenge,25/03/2025,,public Safety,Cell,Health post has no medicines near the river since yesterday.,Escalated,Yes,Yes,,
ISS-1150,Kicukiro,Gikondo,Kanserege,22/04/2025,9/5/2025,Health and Services ,Cell,Electricity blackout in the neighborhood near the market for 2 months now.,Resolved,No,Yes,1,The issue is still not fully fixed.
ISS-1151,Kicukiro,Gikondo,Kanserege,11/5/2025,28/05/2025,Education,Cell,Public toilet not functioning next to the bus stop for 2 months now.,Resolved,No,Yes,2,Very satisfied with the outcome.
